60386,1,,38821
51082,2,,
50356,3,,
62862,4,,
61631,5,,
60999,6,,
53405,7,,
42896,8,,
43346,9,,
45642,10,,
42691,11,,
44062,12,,
46853,13,,
46932,14,,
43021,15,,
39109,16,,
41589,17,,
43228,18,,
41513,19,,
39064,20,,
42350,21,,
40263,22,,
39618,23,,
43275,24,,
43162,25,,
43069,26,,
39055,27,,
39509,28,,
43002,29,,
43131,30,,
40903,31,,
38821,32,,
40270,33,,
38875,34,,
42470,35,,
39365,36,,
40390,37,,
43103,38,,
39530,39,,
40304,40,,
43285,41,,
43261,42,,
41472,43,,
38992,44,,
42700,45,,
40184,46,,
39525,47,,
43410,48,,
43377,49,,
40675,50,,
39310,51,,
40080,52,,
39196,53,,
39552,54,,
39242,55,,
40854,56,,
39428,57,,
42191,58,,
43448,59,,
43268,60,,
40763,61,,
39616,62,,
40134,63,,
40256,64,,
39767,65,,
41121,66,,
43342,67,,
41067,68,,
40870,69,,
39955,70,,
40181,71,,
39791,72,,
42203,73,,
43614,74,,
43978,75,,
43683,76,,
43990,77,,
43964,78,,
40412,79,,
42121,80,,
44005,81,,
43658,82,,
43408,83,,
43880,84,,
41799,85,,
40161,86,,
43203,87,,
39831,88,,
42150,89,,
43841,90,,
43043,91,,
43394,92,,
40394,93,,
40419,94,,
43586,95,,
43520,96,,
43411,97,,
42911,98,,
40116,99,,
40392,100,,
